uname,cname,tname,tcolor,fname
oliviahrwalters,MacBookPro,MacBookPro,trans,MacBook
ohrf,delll,delll,bi,delll
olivia,SiriusA,SiriusA,aneco,Sirius
oliviaw,SiriusB,SiriusB,antrans,Sirius
ohrw,Setonix,setonix,ancom,setonix
olive,SurfacePro,surface,leb,surface
oxqz,MacBookAir,anqueer,MacBookAir
olivequeenz,Envy,envy,pride,envy
oxqz,Envy,envy,demi,envy
owalters,OzStar,tooarrana,anfem,tooarrana
root,Root,root,anarchy,super
admiral,Admiral,admiral,demi,super
none,None,none,blank,none
test,Test,test,basic,test
